 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
1491,2021,Octubre-Diciembre,2021-12-01,Miercoles,08:40:00,Alcance Con Estrellamiento,Investigaciones,911.0,Colonia,Los Alamos Del Paque,Calle,Alamo Amarillo  445alamo Alto  Col Los Alamos,"25.73343, -100.185331",
506,2021,Octubre-Diciembre,2021-10-24,Domingo,08:00:00,Alcance,Investigaciones,911.0,Colonia,Cosmopolis,Avenida,Andromeda  Luna,"25.811261, -100.250357",
1516,2021,Octubre-Diciembre,2021-12-02,Jueves,02:00:00,Crucero,Peritaje,911.0,Colonia,Valle Azul,Avenida,Miguel Aleman  Rogelio Gzz Parque Stiva,"25.789122, -100.14463",
512,2021,Octubre-Diciembre,2021-10-24,Domingo,15:20:00,Alcance,Peritaje,911.0,Colonia,Reforma,Avenida,Julian Villagran  Teleonos Col La Reforma,"25.734728, -100.173786",
1532,2021,Octubre-Diciembre,2021-12-02,Jueves,17:10:00,Lateral,Peritaje,911.0,Colonia,Sendero,Avenida,Av Sendero Div  Av Concepcion Barragan,"25.771122, -100.263684",
521,2021,Octubre-Diciembre,2021-10-25,Lunes,07:05:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Santa Rosa,Avenida,Av Humberto Ramos Lozano  Azulejos  Col Paeo Sta Rosa,"25.823618, -100.226118",
1544,2021,Octubre-Diciembre,2021-12-02,Jueves,00:20:00,Crucero,Peritaje,911.0,Colonia,Metroplex,Avenida,Av Concorida  Av Metroplex,"25.784629, -100.253665",
526,2021,Octubre-Diciembre,2021-10-25,Lunes,10:40:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Parque Indsutrial Monterrey,Avenida,Av Parque Ind Mty  Septima  Parque Ind Mty,"25.767936, -100.165951",
1545,2021,Octubre-Diciembre,2021-12-03,Viernes,11:20:00,Alcance Con Estrellamiento,Peritaje,911.0,Residencial,La Hacienda  Praderas De La Henramada,Avenida,De Los Ebanos  De Las Margaritas Prados De La Henramada,"25.760362, -100.251912",
528,2021,Octubre-Diciembre,2021-10-25,Lunes,19:00:00,Estrellamiento Con Huida,Investigaciones,911.0,Colonia,Pueblo Nuevo,Avenida,Rio Pilon  Rio Serna  Col Pueblo Nuevo,"25.76021, -100.16444",
1548,2021,Octubre-Diciembre,2021-12-03,Viernes,02:20:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Moderno,Avenida,Lat Miguel Aleman  Frente A Empresa Eromotos,"25.778011, -100.181517",
536,2021,Octubre-Diciembre,2021-10-25,Lunes,12:00:00,Crucero,Agencia De Ministerio Publico,911.0,Colonia,Pueblo Nuevo,Avenida,Rio Pilon  Rio Salinas Col Pueblo Nuevo,"25.760016, -100.165305",
1549,2021,Octubre-Diciembre,2021-12-03,Viernes,02:10:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Vallde De Las Palmas,Avenida,Av Las Palmas  Calabacilla Col Valle De Laspalmas,"25.775822, -100.265779",
565,2021,Octubre-Diciembre,2021-10-26,Martes,07:25:00,Crucero,Peritaje,911.0,Colonia,Huinala San Miguel,Avenida,Vicente Guerrero  Carr Huinala,"25.718478, -100.168587",
1552,2021,Octubre-Diciembre,2021-12-03,Viernes,07:40:00,Estrellamiento Con Volcadura,Peritaje,911.0,Colonia,Rinconada,Avenida,Humberto Ramos Lozano  Calle Nueva  Col Rinconada,"25.795237, -100.199817",
574,2021,Octubre-Diciembre,2021-10-26,Martes,19:00:00,Crucero,Peritaje,911.0,Colonia,Mision De San Miguel,Avenida,Blvd Acapulco  Guerrero Col San Miguel,"25.7166, -100.175095",
1580,2021,Octubre-Diciembre,2021-12-04,Sabado,05:10:00,Crucero,Peritaje,911.0,Residencial,Renaceres,Calle,Av Del Arco  Av Renaceres Col Renaceres,"25.818804, -100.238869",
601,2021,Octubre-Diciembre,2021-10-27,Miercoles,17:30:00,Diverso,Peritaje,911.0,Colonia,Cosmopolis,Avenida,Av Andromeda  Ariel Col Cosmopolis,"25.813282, -100.244734",
1589,2021,Octubre-Diciembre,2021-12-04,Sabado,13:15:00,Lateral,Peritaje,911.0,Colonia,Puevlo Nuevo,Avenida,Carr Juarez  Margarito  Garza  Huinala,"25.753205, -100.169455",
609,2021,Octubre-Diciembre,2021-10-27,Miercoles,07:10:00,Lateral Con Proyeccion,Peritaje,911.0,Colonia,Hacienda Monterrey,Avenida,Av Parque Ind Mty  Segunda Ote Parque Mty,"25.776223, -100.171813",
1607,2021,Octubre-Diciembre,2021-12-04,Sabado,23:00:00,Lateral,Peritaje,911.0,Colonia,Cosmopolis,Avenida,Av Andromeda  Antares,"25.820476, -100.245616",
650,2021,Octubre-Diciembre,2021-10-28,Jueves,21:35:00,Alcance Con Estrellamiento,Peritaje,911.0,Residencial,San Francisco,Avenida,San Francisco 244 Jeronimo Treviño,"25.778633, -100.197764",
1609,2021,Octubre-Diciembre,2021-12-05,Domingo,00:15:00,Crucero Y Alida De Superficie De Rodamiento,Peritaje,911.0,Colonia,Huinala,Carretera,Villa Juarez  Via Matamoros  El Lechugal,"25.766538, -100.17435",
656,2021,Octubre-Diciembre,2021-10-29,Viernes,07:10:00,Alcance,Agencia De Ministerio Publico,911.0,Colonia,Centro,Avenida,Blvd Carlos Salinas De Gortari  Ojo De Agua   Hda San Francisco,"25.767569, -100.198592",
1611,2021,Octubre-Diciembre,2021-12-05,Domingo,09:20:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Valle De Los Nogales,Avenida,Av Andromeda  Valle Del Maiz,"25.790619, -100.23356",
671,2021,Octubre-Diciembre,2021-10-29,Viernes,14:50:00,De Frente,Agencia De Ministerio Publico,911.0,Colonia,Artemio Treviño,Avenida,Zuazua  Margaritas Artemio Treviño,"25.835307, -100.13909",
1614,2021,Octubre-Diciembre,2021-12-05,Domingo,08:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Paseo De Los Pinos,Avenida,Paseo De Los Pinos  Av Concordia,"25.784715, -100.246592",
677,2021,Octubre-Diciembre,2021-10-29,Viernes,18:40:00,Alcance,Investigaciones,911.0,Colonia,Centro,Avenida,Blvd Carlos Salinas De Gortari  Estardo Guajardo,"25.772236, -100.192386",
1626,2021,Octubre-Diciembre,2021-12-05,Domingo,18:32:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Campestre Huinala,Avenida,Carr Villa Juarez  Av Internacional,"25.760928, -100.173178",
688,2021,Octubre-Diciembre,2021-10-29,Viernes,20:00:00,Atropello,Peritaje,911.0,Colonia,Ebanos,Avenida,Av Concordia  Maple Ebanos,"25.784154, -100.232843",
